;Wegvoertuigen per 1 januari|Totaal wegvoertuigen;Wegvoertuigen per 1 januari|Personenauto;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Totaal bedrijfsmotorvoertuigen;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Bestelauto;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Vrachtauto (excl. trekker voor oplegger);Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Trekker voor oplegger;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Speciaal voertuig;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Bedrijfsmotorvoertuigen|Bus;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Aanhangwagens en opleggers|Totaal aanhangwagens en opleggers;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Aanhangwagens en opleggers|Aanhangwagen;Wegvoertuigen per 1 januari|Bedrijfsvoertuigen|Aanhangwagens en opleggers|Oplegger;Wegvoertuigen per 1 januari|Motorfiets;Wegvoertuigen per 1 januari|Voertuigen met bromfietskenteken|Alle voertuigen met bromfietskenteken;Wegvoertuigen per 1 januari|Voertuigen met bromfietskenteken|Snorfiets;Wegvoertuigen per 1 januari|Voertuigen met bromfietskenteken|Bromfiets;Wegvoertuigen per 1 januari|Voertuigen met bromfietskenteken|Brommobiel;Wegvoertuigen per 1 januari|Voertuigen met bromfietskenteken|Overige voertuigen met bromfietskenteken
Aa en Hunze;23265;14645;5363;2020;1646;97;119;157;1;3343;3168;175;1758;1499;656;793;37;13
Aalburg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aalsmeer;26641;17011;4630;2390;1908;239;153;60;30;2240;1996;244;1493;3507;1688;1769;35;15
Aalten;21465;14193;4440;1870;1602;101;69;96;2;2570;2465;105;1433;1399;690;668;34;7
Ter Aar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abcoude;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Achtkarspelen;25277;14873;6338;2835;2293;166;149;186;41;3503;3319;184;1231;2835;1328;1439;59;9
Akersloot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alblasserdam;14024;9129;3235;1606;1053;102;384;35;32;1629;1102;527;559;1101;562;520;14;5
Albrandswaard;17709;12552;2409;1033;759;63;130;76;5;1376;1260;116;956;1792;1072;692;18;10
Alkemade;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alkmaar;75052;49280;11822;6532;4911;466;352;771;32;5290;4793;497;4530;9420;5851;3426;110;33
Almelo;52102;34268;10136;4639;3790;199;415;231;4;5497;4452;1045;2432;5266;3819;1350;81;16
Almere;335268;270553;42602;35968;34576;686;300;380;26;6634;6290;344;7237;14876;11052;3693;84;47
Alphen aan den Rijn;81832;52667;15677;7328;5945;518;579;260;26;8349;7194;1155;4696;8792;5245;3410;89;48
Alphen-Chaam;9612;6124;2153;990;851;53;34;48;4;1163;1122;41;643;692;285;392;13;2
Altena;48179;29363;12273;5840;4451;436;651;270;32;6433;5597;836;2237;4306;2130;2052;107;17
Ambt Delden;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ambt Montfort;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ameland;3470;1843;764;442;381;32;16;13;0;322;297;25;299;564;361;186;14;3
Amerongen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amersfoort;148230;108632;22530;16596;14728;342;241;431;854;5934;5630;304;5523;11545;8702;2690;109;44
Amstelveen;49747;37957;3770;1977;1705;103;43;112;14;1793;1743;50;2132;5888;3461;2364;44;19
Amsterdam;342803;235026;34482;23999;20912;1027;675;1076;309;10483;9397;1086;19419;53876;34941;18097;411;427
Andijk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angerlo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
