"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)"
"2020";"Aa en Hunze";25445
"2020";"Aalburg";
"2020";"Aalsmeer";31859
"2020";"Aalten";27121
"2020";"Ter Aar";
"2020";"Aarle-Rixtel";
"2020";"Abcoude";
"2020";"Achtkarspelen";27843
"2020";"Akersloot";
"2020";"Alblasserdam";20165
"2020";"Albrandswaard";25590
"2020";"Alkemade";
"2020";"Alkmaar";109436
"2020";"Almelo";73107
"2020";"Almere";211893
"2020";"Alphen aan den Rijn";111897
"2020";"Alphen en Riel";
"2020";"Alphen-Chaam";10203
"2020";"Altena";55967
"2020";"Ambt Delden";
"2020";"Ambt Montfort";
"2020";"Ameland";3716
"2020";"Amerongen";
"2020";"Amersfoort";157276
"2020";"Ammerzoden";
"2020";"Amstelveen";91675
"2020";"Amsterdam";872757
"2020";"Andijk";
"2020";"Angerlo";
"2020";"Anloo";
"2020";"Anna Paulowna";
"2020";"Apeldoorn";163818
"2020";"Appingedam";11642
"2020";"Arcen en Velden";
"2020";"Arnemuiden";
"2020";"Arnhem";161348
"2020";"Assen";68599
"2020";"Asten";16721
"2020";"Avereest";
"2020";"Axel";
"2020";"Baarle-Nassau";6859
"2020";"Baarn";24868
"2020";"Bakel en Milheeze";
"2020";"Barendrecht";48714
"2020";"Barneveld";59082
"2020";"Bathmen";
"2020";"Bedum";
"2020";"Beek (L.)";15865
"2020";"Beek en Donk";
"2020";"Beekdaelen";35938
"2020";"Beemster";10022
"2020";"Beesel";13482
"2020";"Beilen";
"2020";"Belfeld";
"2020";"Bellingwedde";
"2020";"Bemmel";
"2020";"Bennebroek";
"2020";"Berg en Dal";34992
"2020";"Bergambacht";
"2020";"Bergeijk";18635
"2020";"Bergen (L.)";13085
"2020";"Bergen (NH.)";29839
"2020";"Bergen op Zoom";67496
"2020";"Bergeyk";
"2020";"Bergh";
"2020";"Bergschenhoek";
"2020";"Berkel en Rodenrijs";
"2020";"Berkel-Enschot";
"2020";"Berkelland";43747
"2020";"Berlicum";
"2020";"Bernheze";31240
"2020";"Bernisse";
"2020";"Best";29988
"2020";"Beuningen";25890
"2020";"Beverwijk";41626
"2020";"het Bildt";
"2020";"De Bilt";43137
"2020";"Binnenmaas";
"2020";"Bladel";20390
"2020";"Bladel en Netersel";
"2020";"Blaricum";11540
"2020";"Bleiswijk";
"2020";"Bloemendaal";23571
"2020";"Boarnsterhim";
"2020";"Bodegraven";
"2020";"Bodegraven-Reeuwijk";34872
"2020";"Boekel";10785
"2020";"Ten Boer";
"2020";"Bolsward";
"2020";"Borculo";
"2020";"Borger";
"2020";"Borger-Odoorn";25559
"2020";"Born";
"2020";"Borne";23312
"2020";"Borsele";22739
"2020";"Boskoop";
"2020";"Boxmeer";29365
"2020";"Boxtel";30801
"2020";"Brakel";
"2020";"Breda";184069
